id,threat,claude_cat,claude_label,gpt_cat,gpt_label,manual_cat,manual_label,claude_gpt_agree,manual_claude_agree,manual_gpt_agree,all_three_agree
T-31,Compromised Foundation Model,5,Privacy & Security,5.0,Privacy & Security,5,Privacy & Security,True,True,True,True
T-32,Insecure AI Infrastructure,5,Privacy & Security,5.0,Privacy & Security,5,Privacy & Security,True,True,True,True
T-33,Lack of AI Bill of Materials,2,"AI System Safety, Failures, and Limitations",,,5,Privacy & Security,False,False,False,False
T-34,Insecure AI-Generated Code,5,Privacy & Security,5.0,Privacy & Security,5,Privacy & Security,True,True,True,True
T-35,Deepfake Fraud,1,Malicious Actors & Misuse,1.0,Malicious Actors & Misuse,1,Malicious Actors & Misuse,True,True,True,True
T-36,AI-Enhanced Phishing,1,Malicious Actors & Misuse,1.0,Malicious Actors & Misuse,1,Malicious Actors & Misuse,True,True,True,True
T-37,Shadow AI,5,Privacy & Security,5.0,Privacy & Security,5,Privacy & Security,True,True,True,True
T-38,AI Offensive Operations,1,Malicious Actors & Misuse,1.0,Malicious Actors & Misuse,1,Malicious Actors & Misuse,True,True,True,True
T-39,Regulatory Non-Compliance,7,Socioeconomic & Environmental Harms,,,7,Socioeconomic & Environmental Harms,False,True,False,False
T-40,Lethal Trifecta,5,Privacy & Security,5.0,Privacy & Security,5,Privacy & Security,True,True,True,True
T-41,Browser-Agent Hijacking,5,Privacy & Security,5.0,Privacy & Security,5,Privacy & Security,True,True,True,True
T-42,Tool Description Injection,5,Privacy & Security,5.0,Privacy & Security,1,Malicious Actors & Misuse,True,False,False,False
T-43,AI-Washing,4,Misinformation,4.0,Misinformation,4,Misinformation,True,True,True,True
T-44,AI Worms,1,Malicious Actors & Misuse,5.0,Privacy & Security,5,Privacy & Security,False,False,True,False
T-45,Foundation Model Concentration,7,Socioeconomic & Environmental Harms,,,7,Socioeconomic & Environmental Harms,False,True,False,False
T-46,Malicious AI Skills / Plugins,5,Privacy & Security,5.0,Privacy & Security,1,Malicious Actors & Misuse,True,False,False,False
T-47,Skill Supply Chain Compromise,5,Privacy & Security,5.0,Privacy & Security,5,Privacy & Security,True,True,True,True
T-48,Over-Privileged AI Skills,5,Privacy & Security,5.0,Privacy & Security,5,Privacy & Security,True,True,True,True
T-49,Insecure Skill Metadata,5,Privacy & Security,5.0,Privacy & Security,5,Privacy & Security,True,True,True,True
T-50,Unsafe Skill Deserialization,5,Privacy & Security,5.0,Privacy & Security,5,Privacy & Security,True,True,True,True
T-51,Weak Skill Isolation,5,Privacy & Security,5.0,Privacy & Security,5,Privacy & Security,True,True,True,True
T-52,Skill Update Drift,2,"AI System Safety, Failures, and Limitations",2.0,"AI System Safety, Failures, and Limitations",2,"AI System Safety, Failures, and Limitations",True,True,True,True
T-53,Poor Skill Scanning,5,Privacy & Security,,,5,Privacy & Security,False,True,False,False
T-54,Lack of Skill Governance,2,"AI System Safety, Failures, and Limitations",,,2,"AI System Safety, Failures, and Limitations",False,True,False,False
T-55,Cross-Platform Skill Exploitation,5,Privacy & Security,5.0,Privacy & Security,5,Privacy & Security,True,True,True,True
